address,company_name,job_name,pay,person_count,study,years
北京 海淀区 上地,百度,服务端测试开发工程师,15k-30k,10000人以上,本科,1-3年
北京 海淀区 西北旺,北京百度网讯有限公司,测试开发工程师,15k-20k,10000人以上,硕士,应届生
北京 海淀区 上地,第四范式,AI测试开发工程师,15k-30k,500-999人,本科,3-5年
北京 海淀区 西北旺,百度,高级测试开发工程师（面议）,10k-20k,10000人以上,本科,3-5年
北京 朝阳区 三元桥,像素恐龙,高级测试工程师,30k-40k,0-20人,本科,5-10年
北京 朝阳区 朝外,FreeWheel,专家测试开发工程师（后台）,40k-50k,500-999人,本科,3-5年
北京  ,京东集团,测试开发,11k-20k,10000人以上,本科,3-5年
北京 海淀区 五道口,快手,移动端测试,15k-30k,1000-9999人,本科,经验不限
北京 海淀区 马连洼,百度,测试开发实习生,1k-2k,10000人以上,本科,经验不限
北京 朝阳区 望京,阿里巴巴高德,测试开发,15k-30k,1000-9999人,本科,3-5年
北京 海淀区 西北旺,百度,测试开发,17k-20k,10000人以上,本科,1-3年
北京 朝阳区 望京,阿里巴巴集团,测试开发,20k-40k,10000人以上,本科,3-5年
北京  ,百度,测试开发,15k-30k,10000人以上,本科,1-3年
北京 海淀区 上地,百度,小程序测试开发实习生,4k-9k,10000人以上,本科,1年以内
北京 海淀区 上地,百度,测试开发,15k-30k,10000人以上,本科,经验不限
北京 海淀区 西北旺,百度在线,测试开发,15k-30k,10000人以上,本科,3-5年
北京 海淀区 马连洼,百度,测试开发,15k-30k,10000人以上,本科,3-5年
北京 海淀区 西北旺,百度,测试开发,15k-25k,10000人以上,本科,1年以内
北京 海淀区 上地,百度,移动端测试,15k-18k,10000人以上,本科,1-3年
北京 海淀区 上地,百度,性能测试,18k-22k,10000人以上,本科,1-3年
北京 海淀区 上地,百度,测试开发,4k-6k,10000人以上,本科,经验不限
北京 海淀区 上地,百度,测试开发,18k-22k,10000人以上,本科,1-3年
北京 海淀区 上地,滴滴出行,测试开发,15k-25k,1000-9999人,本科,1-3年
北京 海淀区 西北旺,百度,测试开发,18k-36k,10000人以上,硕士,1年以内
